Date,Value
2022-02-24,-211798.00620590846
2022-02-25,-211898.8623993399
2022-02-28,-211999.76661953007
2022-03-01,-222437.5452447775
2022-03-02,-222543.46788537022
2022-03-03,-229775.227381887
2022-03-04,-229884.64415683082
2022-03-07,-229994.1130350007
2022-03-08,-230103.6340412078
2022-03-09,-230213.2072002751
2022-03-10,-230322.83253703712
2022-03-11,-230432.51007634046
2022-03-14,-242822.22707275776
2022-03-15,-242937.85670469722
2022-03-16,-243053.54139836607
2022-03-17,-243169.28117998433
2022-03-18,-243285.07607578434
2022-03-21,-243400.92611201093
2022-03-22,-243516.8313149214
2022-03-23,-243632.7917107856
2022-03-24,-243748.807325886
2022-03-25,-243864.8781865174
2022-03-28,-243981.00431898716
2022-03-29,-240912.8849533727
2022-03-30,-241027.60537477912
2022-03-31,-241142.3804249576
2022-04-01,-241257.21012992188
2022-04-04,-241372.094515698
2022-04-05,-241487.03360832456
2022-04-06,-241602.02743385232
2022-04-07,-241717.0760183447
2022-04-08,-241832.17938787723
2022-04-11,-241947.33756853812
2022-04-12,-242062.55058642785
2022-04-13,-242177.8184676595
2022-04-14,-242293.14123835834
2022-04-18,-242408.51892466235
2022-04-19,-242523.95155272173
2022-04-20,-246915.9418092707
2022-04-21,-259247.58948403696
2022-04-22,-259371.04071712456
2022-04-25,-259494.55073651375
2022-04-26,-272665.0702467692
2022-04-27,-278065.4163264104
2022-04-28,-278197.82842942304
2022-04-29,-278330.30358581804
2022-05-02,-278462.84182562085
2022-05-03,-278595.44317887106
2022-05-04,-287940.37474150874
2022-05-05,-288077.4892056713
2022-05-06,-315984.84776300733
2022-05-09,-324972.60296670394
2022-05-10,-325127.3518252595
2022-05-11,-325282.1743737477
2022-05-12,-325437.0706472591
2022-05-13,-325592.0406809007
2022-05-16,-325747.0845097963
2022-05-17,-325902.2021690867
2022-05-18,-326057.39369392913
2022-05-19,-330973.5401266405
2022-05-20,-335950.3699503199
2022-05-23,-336110.34631696285
2022-05-24,-336270.39886282803
2022-05-25,-336430.5276241913
2022-05-26,-336590.7326373457
2022-05-27,-336751.01393860154
2022-05-31,-336911.3715642866
2022-06-01,-337071.8055507458
2022-06-02,-337232.31593434146
2022-06-03,-337392.90275145305
2022-06-06,-337553.56603847747
2022-06-07,-337714.3058318291
2022-06-08,-344892.8517533681
2022-06-09,-345057.0864446793
2022-06-10,-345221.3993429863
2022-06-13,-355928.33955753053
2022-06-14,-363287.9764930341
2022-06-15,-363460.97076755454
2022-06-16,-374233.13890444394
2022-06-17,-381550.1301644936
2022-06-21,-381731.8207026673
2022-06-22,-381913.5977601447
2022-06-23,-382095.46137812576
2022-06-24,-382277.4115978296
2022-06-27,-382459.44846049516
2022-06-28,-382641.57200738107
2022-06-29,-382823.78227976564
2022-06-30,-383006.0793189465
2022-07-01,-424013.97605358396
2022-07-05,-424215.8874707524
2022-07-06,-424417.8950362147
2022-07-07,-424619.99879575573
2022-07-08,-424822.1987951823
2022-07-11,-425024.4950803227
2022-07-12,-425226.8876970278
2022-07-13,-425429.3766911693
2022-07-14,-425631.96210864116
2022-07-15,-425834.64399535966
2022-07-18,-426037.4223972621
2022-07-19,-426240.2973603084
2022-07-20,-426443.2689304801
2022-07-21,-426646.3371537803
2022-07-22,-431727.37576766306
2022-07-25,-431932.96023231436
2022-07-26,-432138.64259432966
2022-07-27,-432344.42290032696
2022-07-28,-432550.3011969461
2022-07-29,-432756.2775308494
2022-08-01,-432962.3519487213
2022-08-02,-433168.5244972684
2022-08-03,-433374.79522321944
2022-08-04,-433581.1641733256
2022-08-05,-433787.6313943606
2022-08-08,-433994.19693311973
2022-08-09,-434200.86083642126
2022-08-10,-434407.6231511053
2022-08-11,-434614.48392403434
2022-08-12,-434821.4432020935
2022-08-15,-435028.5010321897
2022-08-16,-435235.6574612528
2022-08-17,-435442.9125362343
2022-08-18,-435650.26630410866
2022-08-19,-435857.7188118724
2022-08-22,-444792.0059171162
2022-08-23,-445003.81163421966
2022-08-24,-445215.7182111882
2022-08-25,-445427.72569605074
2022-08-26,-445639.83413685835
2022-08-29,-445852.0435816855
2022-08-30,-446064.3540786291
2022-08-31,-446276.76567580947
2022-09-01,-455034.2879367979
2022-09-02,-455250.97093105357
2022-09-06,-455467.75710768736
2022-09-07,-455684.6465158339
2022-09-08,-455901.6392046509
2022-09-09,-456118.7352233199
2022-09-12,-456335.9346210453
2022-09-13,-456553.2374470552
2022-09-14,-456770.6437506014
2022-09-15,-456988.15358095884
2022-09-16,-471971.62781555095
2022-09-19,-472196.3762097489
2022-09-20,-472421.23162699165
2022-09-21,-472646.1941182426
2022-09-22,-472871.2637344894
2022-09-23,-510696.27928988665
2022-09-26,-510939.4679943105
2022-09-27,-511182.7725028792
2022-09-28,-511426.19287073775
2022-09-29,-511669.729153057
2022-09-30,-511913.3814050347
2022-10-03,-554896.0521534657
2022-10-04,-555160.2883687768
2022-10-05,-555424.6504108573
2022-10-06,-555689.1383396244
2022-10-07,-555953.7522150242
2022-10-10,-562017.4922113172
2022-10-11,-568562.0512809891
2022-10-12,-568832.7951149323
2022-10-13,-569103.667874511
2022-10-14,-569374.6696211179
2022-10-17,-569645.8004161754
2022-10-18,-569917.0603211356
2022-10-19,-570188.449397479
2022-10-20,-570459.9677067159
2022-10-21,-576484.0572646715
2022-10-24,-576758.5734824166
2022-10-25,-577033.2204221701
2022-10-26,-596566.3182849305
2022-10-27,-596850.3974841138
2022-10-28,-597134.6119591063
2022-10-31,-597418.9617743249
2022-11-01,-627801.6015220246
2022-11-02,-636482.8243227495
2022-11-03,-636785.9113819507
2022-11-04,-645717.8056997517
2022-11-07,-646025.2903691324
2022-11-08,-646332.9214597845
2022-11-09,-646640.6990414319
2022-11-10,-646948.6231838327
2022-11-11,-647256.6939567773
2022-11-14,-647564.9114300902
2022-11-15,-647873.2756736282
2022-11-16,-648181.7867572824
2022-11-17,-648490.4447509763
2022-11-18,-648799.2497246672
2022-11-21,-649108.2017483457
2022-11-22,-649417.3008920354
2022-11-23,-649726.5472257935
2022-11-25,-650035.9408197104
2022-11-28,-650345.4817439102
2022-11-29,-650655.1700685504
2022-11-30,-650965.0058638211
2022-12-01,-651274.9891999466
2022-12-02,-651585.1201471848
2022-12-05,-651895.3987758263
2022-12-06,-652205.8251561957
2022-12-07,-652516.3993586513
2022-12-08,-652827.1214535838
2022-12-09,-653137.9915114188
2022-12-12,-653449.0096026147
2022-12-13,-653760.1757976635
2022-12-14,-654071.4901670911
2022-12-15,-654382.9527814563
2022-12-16,-654694.5637113524
2022-12-19,-655006.3230274053
2022-12-20,-655318.2308002756
2022-12-21,-655630.2871006565
2022-12-22,-655942.491999276
2022-12-23,-656254.8455668944
2022-12-27,-656567.3478743072
2022-12-28,-656879.9989923427
2022-12-29,-657192.798991863
2022-12-30,-657505.747943764
2023-01-03,-657818.8459189752
2023-01-04,-658132.0929884604
2023-01-05,-658445.4892232167
2023-01-06,-658759.0346942755
2023-01-09,-659072.7294727014
2023-01-10,-659386.573629593
2023-01-11,-659700.5672360834
2023-01-12,-660014.7103633387
2023-01-13,-660329.0030825593
2023-01-17,-660643.4454649796
2023-01-18,-660958.0375818675
2023-01-19,-661272.7795045257
2023-01-20,-661587.6713042897
2023-01-23,-661902.71305253
2023-01-24,-662217.9048206502
2023-01-25,-662533.2466800885
2023-01-26,-662848.7387023172
2023-01-27,-663164.3809588421
2023-01-30,-663480.1735212036
2023-01-31,-663796.1164609755
2023-02-01,-664112.2098497663
2023-02-02,-664428.4537592187
2023-02-03,-664744.8482610086
2023-02-06,-665061.3934268473
2023-02-07,-665378.0893284791
2023-02-08,-665694.9360376832
2023-02-09,-666011.9336262726
2023-02-10,-666329.0821660946
2023-02-13,-666646.3817290309
2023-02-14,-666963.832386997
2023-02-15,-667281.4342119432
2023-02-16,-667599.1872758538
2023-02-17,-667917.091650747
2023-02-21,-668235.1474086759
2023-02-22,-668553.3546217276
2023-02-23,-668871.7133620239
2023-02-24,-669190.2237017199
2023-02-27,-669508.8857130065
2023-02-28,-669827.6994681078
2023-03-01,-670146.6650392832
2023-03-02,-670465.7824988257
2023-03-03,-670785.0519190633
2023-03-06,-671104.4733723579
2023-03-07,-671424.0469311068
2023-03-08,-671743.7726677407
2023-03-09,-672063.6506547254
2023-03-10,-672383.6809645608
2023-03-13,-672703.8636697821
2023-03-14,-673024.1988429581
2023-03-15,-673344.6865566929
2023-03-16,-673665.3268836248
2023-03-17,-673986.1198964263
2023-03-20,-674307.0656678055
2023-03-21,-674628.1642705045
2023-03-22,-674949.4157773001
2023-03-23,-675270.8202610036
2023-03-24,-675592.3777944614
2023-03-27,-675914.0884505536
2023-03-28,-676235.9523021969
2023-03-29,-676557.9694223409
2023-03-30,-676880.1398839706
2023-03-31,-677202.4637601057
2023-04-03,-677524.9411238009
2023-04-04,-677847.5720481456
2023-04-05,-678170.3566062639
2023-04-06,-678493.2948713144
2023-04-10,-678816.3869164911
2023-04-11,-679139.632815023
2023-04-12,-679463.0326401731
2023-04-13,-679786.5864652395
2023-04-14,-680110.2943635563
2023-04-17,-680434.1564084915
2023-04-18,-680758.172673448
2023-04-19,-681082.3432318639
2023-04-20,-681406.6681572122
2023-04-21,-681731.1475230015
2023-04-24,-682055.7814027744
2023-04-25,-682380.5698701091
2023-04-26,-682705.5129986187
2023-04-27,-624515.0512855526
2023-04-28,-624812.4394052124
2023-05-01,-625109.9691382624
2023-05-02,-625407.6405521379
2023-05-03,-608231.017085515
2023-05-04,-608520.6509031748
2023-05-05,-608810.4226417
2023-05-08,-609100.3323667676
2023-05-09,-609390.3801440849
2023-05-10,-584952.2706132716
2023-05-11,-585230.8193135638
2023-05-12,-585509.5006560939
2023-05-15,-585788.3147040254
2023-05-16,-586067.2615205512
2023-05-17,-553923.0196019207
2023-05-18,-539245.8389241144
2023-05-19,-539502.6226569352
2023-05-22,-539759.5286677242
2023-05-23,-540016.5570147091
